begin,end,time interval,login,mac ab,ULSK1,BRAS ip,start count,alive count,stop count,incoming,outcoming,error_count,code 0,code 1011,code 1100,code -3,code -52,code -42,code -21,code -40,code -44,code -46,code -38
1588342275,1588342275,0,WHHWXH-W@pppoe,2c:e4:12:3c:cd:96,BR06231112800000a2c0c2020721, 89.239.189.2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588342275,1588342275,0,6EdbVr-8LAW9@pppoe,28:ff:3e:1f:2c:2c,BR09232114900000210a8e126515, 89.239.189.2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588342278,1588342278,0,6EdbVr-AsLXL@pppoe,7c:8b:ca:3f:ba:2c,BR06231115300000740e05065025, 89.239.189.2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588342279,1588342279,0,WWggss-W@pppoe,c4:a8:1d:27:88:c0,BR152331163000003d62e5110301, 89.239.189.2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588342280,1588342280,0,AWHsXW-W@pppoe,98:de:d0:84:fa:65,BR062311047000002e02bd008362, 89.239.189.2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588342280,1588342280,0,AssW9X-W@pppoe,24:7f:20:4b:b4:77,BR15233116500000e951e2116720, 89.239.189.2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588342282,1588342282,0,WHssHH-W@pppoe,7e:8b:ca:d3:51:a1,BR0923210670000055c320022752, 89.239.189.1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588342283,1588342283,0,0XaGreio@pppoe,26:00:41:d6:9e:30,BR02230132900000247e95121217, 89.239.189.2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588342283,1588342283,0,W9gsHg-W@pppoe,18:62:2c:fd:55:e7,BR06231145900000d94e6a164671, 89.239.189.1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588342283,1588342283,0,AAHW9H-W@pppoe,34:8a:ae:49:23:cc,BR09232116800000699c36114617, 89.239.189.1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588342285,1588342285,0,AXA9WX-W@pppoe,c4:6e:1f:8c:35:c5,BR022301088000003a46eb161504, 89.239.189.2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588342288,1588342288,0,0A49D519-07@dhcp,00:1f:ce:a3:7f:e8,BR022301509000002b4f78182637, 89.239.189.1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588342289,1588342289,0,WAWH8X-W@pppoe,00:1f:ce:78:45:50,BR15233100800000a5218c019222, 89.239.189.2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588342293,1588342293,0,WX8sHX-W@pppoe,ec:22:80:51:11:ab,BR09232146400000d2136d174964, 89.239.189.2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588342294,1588342294,0,0A49A6B2-12@dhcp,70:2e:22:6b:68:5d,BR152331590000006aa5a2164861, 89.239.189.2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588342294,1588342294,0,AvHggH-W@pppoe,ec:cb:30:18:5f:dc,BR06231106500000642d25090509, 89.239.189.1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588342294,1588342294,0,9usLas8A-9W@pppoe,1c:7e:e5:8b:73:6b,BR0923214400000090e610067122, 89.239.189.2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588342295,1588342295,0,A9H9sA-W@pppoe,64:70:02:96:81:53,BR0923212480000028bd0a008657, 89.239.189.1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588342296,1588342296,0,0A49F045-0C@dhcp,54:04:a6:b0:d7:f9,BR06231033200000cc72e2229111, 89.239.189.2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588342296,1588342296,0,0A499820-04@dhcp,f8:c0:91:13:34:07,BR1523303690000035174f209288, 89.239.189.2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588342296,1588342296,0,0A49EB70-08@dhcp,f0:76:1c:c5:a9:ec,BR15233044000000aa26f7029183, 89.239.189.2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588342298,1588342298,0,WLAW8X-W@pppoe,d8:6c:e9:6b:c7:92,BR092321077000002d9dd7212715, 89.239.189.1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588342298,1588342299,1,A9vX9g-W@pppoe,2c:39:96:1c:a5:e8,BR02230129500000da2f76119590, 89.239.189.1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1588342299,1588342299,0,8XWvsL-W@pppoe,ec:4c:4d:af:3c:89,BR15233115000000686ef8160321, 89.239.189.1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
